CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
1850;0;0;49;153;9;0 
2035;0;0;34;148;10;0 
1608;0;0;28;158;4;0 
4496;0;0;27;204;11;0 
1493;0;0;32;316;9;0 
1455;0;0;31;236;9;0 
1548;0;0;34;148;10;0 
2050;0;0;34;308;8;0 
4357;0;0;44;143;8;0 
1783;0;0;52;153;9;0 
1781;0;0;46;194;9;0 
3104;0;0;32;396;9;0 
4528;0;0;32;341;9;0 
1907;0;0;38;137;8;0 
1962;0;0;37;228;9;0 
5275;0;0;1434;490;4;0 
1450;0;0;32;162;9;0 
2971;0;0;31;151;8;0 
2698;0;0;47;331;30;0 
3814;0;0;36;401;9;0 
2101;0;0;45;149;8;0 
1963;0;0;40;254;9;0 
1784;0;0;36;182;9;0 
2327;0;0;42;214;8;0 
2181;0;0;47;347;9;0 
1931;0;0;49;149;9;0 
1725;0;0;39;208;4;0 
2460;0;0;35;265;8;0 
1924;0;0;35;242;9;0 
1676;0;0;31;135;8;0 
1903;0;0;37;230;9;0 
1954;0;0;36;146;9;0 
4482;0;0;35;328;8;0 
1986;0;0;34;616;9;0 
2155;0;0;37;151;10;0 
1725;0;0;43;140;10;0 
1779;0;0;28;219;8;0 
2149;0;0;40;172;8;0 
3667;0;0;35;274;9;0 
3600;0;0;47;905;8;0 
1621;0;0;34;202;10;0 
4800;0;0;24;274;9;0 
1886;0;0;62;200;5;0 
4125;0;0;42;129;9;0 
4799;0;0;50;180;8;0 
1640;0;0;30;153;10;0 
1549;0;0;28;228;9;0 
1761;0;0;36;179;9;0 
1936;0;0;57;197;8;0 
1983;0;0;31;197;9;0 
4453;0;0;48;84;10;0 
2012;0;0;39;221;9;0 
2101;0;0;36;163;9;0 
2249;0;0;35;505;8;0 
1845;0;0;41;154;9;0 
2653;0;0;35;170;9;0 
2108;0;0;37;140;9;0 
4715;0;0;31;361;8;0 
1367;0;0;38;681;10;0 
1930;0;0;41;522;9;0 
1845;0;0;30;130;9;0 
5255;0;0;34;337;9;0 
1733;0;0;30;160;9;0 
1795;0;0;35;194;9;0 
1667;0;0;43;201;8;0 
1686;0;0;49;157;9;0 
2027;0;0;28;149;9;0 
1833;0;0;34;152;10;0 
1853;0;0;41;153;9;0 
3739;0;0;30;417;8;0 
1795;0;0;36;301;9;0 
4785;0;0;38;148;9;0 
4880;0;0;49;218;9;0 
2307;0;0;34;214;9;0 
4114;0;0;36;204;9;0 
4702;0;0;41;290;8;0 
3820;0;0;35;1218;8;0 
2112;0;0;54;320;9;0 
4346;0;0;43;886;9;0 
1935;0;0;35;151;9;0 
2240;0;0;42;287;8;0 
1972;0;0;37;243;9;0 
1828;0;0;44;207;9;0 
1901;0;0;42;248;8;0 
6700;0;0;45;517;9;0 
1976;0;0;39;120;8;0 
1767;0;0;39;207;10;0 
2168;0;0;39;230;5;0 
1782;0;0;40;211;8;0 
2111;0;0;25;267;4;0 
1828;0;0;33;231;8;0 
1813;0;0;52;182;9;0 
4907;0;0;34;231;9;0 
4792;0;0;44;195;8;0 
1845;0;0;56;150;9;0 
2112;0;0;38;521;9;0 
2153;0;0;45;263;4;0 
1913;0;0;33;163;10;0 
1829;0;0;36;219;9;0 
5003;0;0;36;118;9;0 
4503;0;0;61;688;8;0 
2002;0;0;125;165;10;0 
1850;0;0;37;146;9;0 
1945;0;0;37;165;9;0 
1992;0;0;43;223;5;0 
1937;0;0;33;242;8;0 
4525;0;0;31;164;9;0 
1853;0;0;28;222;8;0 
3000;0;0;32;199;4;0 
1893;0;0;45;200;9;0 
3776;0;0;40;240;9;0 
2055;0;0;33;271;8;0 
1633;0;0;50;155;9;0 
2277;0;0;32;223;9;0 
4416;0;0;29;232;5;0 
2128;0;0;46;185;8;0 
1791;0;0;34;139;10;0 
1734;0;0;30;260;8;0 
4094;0;0;55;102;9;0 
4576;0;0;27;1200;9;0 
4392;0;0;40;268;9;0 
4561;0;0;42;251;9;0 
2101;0;0;29;208;9;0 
1798;0;0;30;167;9;0 
1666;0;0;40;222;9;0 
4348;0;0;35;447;9;0 
4759;0;0;102;273;9;0 
4262;0;0;39;594;9;0 
1748;0;0;50;149;10;0 
1709;0;0;28;150;9;0 
3517;0;0;37;344;9;0 
4371;0;0;46;261;9;0 
1820;0;0;57;137;9;0 
5587;0;0;34;225;9;0 
1424;0;0;37;150;8;0 
1859;0;0;48;152;9;0 
2310;0;0;41;135;10;0 
1780;0;0;34;137;9;0 
1956;0;0;36;448;9;0 
1907;0;0;43;130;9;0 
2091;0;0;39;148;8;0 
4934;0;0;42;653;9;0 
1805;0;0;44;142;9;0 
1863;0;0;42;345;9;0 
1769;0;0;41;73;9;0 
1894;0;0;34;211;8;0 
